feature,method,importance,kept
home_xg_hf,lasso,0.007886,True
home_xga,lasso,0.096229,True
home_ema_points_short,lasso,0.0,False
home_ema_points_long,lasso,0.013439,True
home_ema_goals_scored,lasso,0.0,False
home_ema_goals_conceded,lasso,0.084289,True
home_ema_xg,lasso,0.0,False
home_ema_xga,lasso,0.0,False
home_rolling_attacking_threat,lasso,0.0,False
home_current_streak_length,lasso,0.019004,True
home_unbeaten_run,lasso,0.0,False
match_idx_af,lasso,0.0,False
away_xg_af,lasso,0.096229,True
away_xga,lasso,0.007886,True
away_ema_points_short,lasso,0.0,False
away_ema_points_long,lasso,0.0,False
away_ema_goals_scored,lasso,0.0,False
away_ema_goals_conceded,lasso,0.050838,True
away_ema_xg,lasso,0.097322,True
away_ema_xga,lasso,0.025494,True
away_rolling_attacking_threat,lasso,0.0,False
away_current_streak_length,lasso,0.0,False
away_unbeaten_run,lasso,0.0,False
diff_ema_points_short,lasso,0.0,False
diff_ema_points_long,lasso,0.276083,True
diff_ema_goals_scored,lasso,0.0,False
diff_ema_goals_conceded,lasso,0.118344,True
diff_ema_xg,lasso,0.0,False
diff_ema_xga,lasso,0.0,False
diff_rolling_attacking_threat,lasso,0.190007,True
h2h_matches_played,lasso,0.0,False
h2h_home_team_win_pct,lasso,0.0,False
h2h_away_team_win_pct,lasso,0.144248,True
h2h_draw_pct,lasso,0.0,False
h2h_avg_total_goals,lasso,0.0,False
h2h_home_team_avg_goals,lasso,0.0,False
h2h_away_team_avg_goals,lasso,0.0,False
h2h_days_since_last,lasso,0.0,False
home_ema_xg_for,lasso,0.0,False
home_defensive_ema_xga,lasso,0.0,False
home_xg_differential,lasso,0.0,False
home_xg_overperformance,lasso,0.053544,True
home_defensive_overperformance,lasso,0.004664,True
away_ema_xg_for,lasso,0.0,False
away_defensive_ema_xga,lasso,0.00043,True
away_xg_differential,lasso,0.0,False
away_xg_overperformance,lasso,0.035705,True
away_defensive_overperformance,lasso,0.0,False
xg_diff_advantage,lasso,0.0,False
defensive_vulnerability_diff,lasso,0.0,False
overperformance_diff,lasso,0.0,False
home_short_turnaround,lasso,0.167834,True
home_days_rest,lasso,0.0,False
home_is_midweek,lasso,0.0,False
away_short_turnaround,lasso,0.0,False
away_days_rest,lasso,0.0,False
away_is_midweek,lasso,0.0,False
is_festive_period,lasso,0.147145,True
home_xg_hf,shap_proxy,0.602192,True
home_xga,shap_proxy,0.434063,True
home_ema_points_short,shap_proxy,0.42212,True
home_ema_points_long,shap_proxy,0.609162,True
home_ema_goals_scored,shap_proxy,0.327171,True
home_ema_goals_conceded,shap_proxy,0.449696,True
home_ema_xg,shap_proxy,0.28814,True
home_ema_xga,shap_proxy,0.360657,True
home_rolling_attacking_threat,shap_proxy,0.334645,True
home_current_streak_length,shap_proxy,0.299553,True
home_unbeaten_run,shap_proxy,0.320132,True
match_idx_af,shap_proxy,0.35672,True
away_xg_af,shap_proxy,0.0,False
away_xga,shap_proxy,0.0,False
away_ema_points_short,shap_proxy,0.356375,True
away_ema_points_long,shap_proxy,0.349214,True
away_ema_goals_scored,shap_proxy,0.414204,True
away_ema_goals_conceded,shap_proxy,0.398019,True
away_ema_xg,shap_proxy,0.452058,True
away_ema_xga,shap_proxy,0.377415,True
away_rolling_attacking_threat,shap_proxy,0.511196,True
away_current_streak_length,shap_proxy,0.429494,True
away_unbeaten_run,shap_proxy,0.428331,True
diff_ema_points_short,shap_proxy,0.376442,True
diff_ema_points_long,shap_proxy,0.838325,True
diff_ema_goals_scored,shap_proxy,0.541242,True
diff_ema_goals_conceded,shap_proxy,0.519109,True
diff_ema_xg,shap_proxy,0.423921,True
diff_ema_xga,shap_proxy,0.299348,True
diff_rolling_attacking_threat,shap_proxy,0.552237,True
h2h_matches_played,shap_proxy,0.0,False
h2h_home_team_win_pct,shap_proxy,0.440767,True
h2h_away_team_win_pct,shap_proxy,0.757201,True
h2h_draw_pct,shap_proxy,0.627938,True
h2h_avg_total_goals,shap_proxy,0.309555,True
h2h_home_team_avg_goals,shap_proxy,0.379371,True
h2h_away_team_avg_goals,shap_proxy,0.503917,True
h2h_days_since_last,shap_proxy,0.406725,True
home_ema_xg_for,shap_proxy,0.0,False
home_defensive_ema_xga,shap_proxy,0.0,False
home_xg_differential,shap_proxy,0.0,False
home_xg_overperformance,shap_proxy,0.0,False
home_defensive_overperformance,shap_proxy,0.0,False
away_ema_xg_for,shap_proxy,0.059803,True
away_defensive_ema_xga,shap_proxy,0.0,False
away_xg_differential,shap_proxy,0.0,False
away_xg_overperformance,shap_proxy,0.179386,True
away_defensive_overperformance,shap_proxy,0.898484,True
xg_diff_advantage,shap_proxy,0.0,False
defensive_vulnerability_diff,shap_proxy,0.122303,True
overperformance_diff,shap_proxy,0.499157,True
home_short_turnaround,shap_proxy,1.0,True
home_days_rest,shap_proxy,0.342368,True
home_is_midweek,shap_proxy,0.448856,True
away_short_turnaround,shap_proxy,0.101697,True
away_days_rest,shap_proxy,0.387102,True
away_is_midweek,shap_proxy,0.0,False
is_festive_period,shap_proxy,0.263379,True
