season,team,matches_played,xg_total,xga_total
2022,Arsenal,38.0,5.84,4.03
2022,Aston Villa,38.0,3.26,8.26
2022,Bournemouth,38.0,3.53,3.53
2022,Brentford,38.0,7.87,3.83
2022,Brighton,38.0,5.88,5.65
2022,Chelsea,38.0,6.09,2.8
2022,Crystal Palace,38.0,2.64,1.2
2022,Everton,38.0,4.63,7.09
2022,Fulham,38.0,2.42,3.66
2022,Leeds United,38.0,2.35,2.59
2022,Leicester City,38.0,1.1,4.3
2022,Liverpool,38.0,4.83,2.94
2022,Manchester City,38.0,5.92,3.69
2022,Manchester United,38.0,8.98,3.87
2022,Newcastle,38.0,8.16,4.06
2022,Nottingham Forest,38.0,1.55,2.47
2022,Southampton,38.0,0.95,3.02
2022,Tottenham Hotspur,38.0,2.2,2.61
2022,West Ham,38.0,2.3,7.67
2022,Wolves,38.0,2.17,5.4
